Age,Gender,Education,Country,Ethnicity,Neuroticism,Extraversion,Openness to experience,Agreeableness,Conscientiousness,Impulsiveness,Sensation seeking,Cannabis
35-44,Female,professional,UK,WhiteAsian,39,36,42,37,42,3,2,0
25-34,Male,doctorate,UK,White,29,52,55,48,41,2,5,1
35-44,Male,professional,UK,White,31,45,40,32,34,1,7,1
18-24,Female,masters,UK,White,34,34,46,47,46,1,2,0
35-44,Female,doctorate,UK,White,43,28,43,41,50,3,5,1
+64,Female,left18,Canada,White,29,38,35,55,52,1,1,0
45-54,Male,masters,USA,White,31,32,43,41,48,3,6,0
35-44,Male,left16,UK,White,24,52,40,41,52,4,4,0
35-44,Female,professional,Canada,White,42,55,39,48,49,1,1,0
55-64,Male,masters,UK,White,33,40,36,47,43,1,3,0
25-34,Female,university,UK,White,26,45,38,38,53,4,6,0
45-54,Male,somecollege,OtherC,White,24,40,47,30,38,5,9,1
55-64,Female,university,UK,White,56,41,49,32,36,7,6,1
55-64,Female,professional,Canada,White,28,45,46,49,59,2,3,0
55-64,Female,professional,UK,White,27,49,49,39,52,7,8,0
55-64,Male,university,UK,White,19,29,35,36,49,2,4,0
35-44,Female,somecollege,UK,White,22,34,34,45,47,3,0,1
45-54,Male,left16,UK,White,41,31,44,40,31,1,3,1
55-64,Male,university,Australia,White,49,39,45,30,30,2,5,1
35-44,Male,professional,UK,White,32,27,29,30,47,1,0,0
45-54,Male,professional,UK,White,28,45,51,53,33,4,5,0
+64,Male,leftbefore16,UK,White,25,43,38,39,53,3,2,0
45-54,Male,university,UK,White,40,33,40,50,35,2,6,0
45-54,Male,left16,UK,White,51,16,37,45,34,1,1,0
55-64,Male,university,UK,White,34,44,54,48,51,3,4,0
45-54,Male,somecollege,UK,White,28,37,37,49,42,3,7,0
55-64,Female,left18,Canada,White,35,28,24,38,46,4,1,0
35-44,Male,university,UK,White,41,31,46,43,25,8,7,1
35-44,Female,masters,UK,White,36,29,41,45,50,4,4,0
45-54,Male,doctorate,UK,White,24,51,52,49,53,3,4,0
45-54,Male,left16,UK,White,39,34,37,33,37,1,6,0
35-44,Female,left16,OtherC,White,25,34,47,39,42,1,3,0
35-44,Male,university,UK,White,28,31,46,46,42,4,3,1
18-24,Male,university,UK,White,40,38,48,51,41,2,1,0
35-44,Male,university,USA,OtherE,46,44,52,23,36,5,10,0
+64,Male,leftbefore16,UK,White,33,34,28,41,36,5,1,0
35-44,Male,university,UK,White,33,36,45,43,30,3,5,0
55-64,Male,leftbefore16,USA,White,39,42,53,44,37,5,4,1
45-54,Male,university,UK,White,22,48,48,43,47,3,3,0
+64,Female,professional,UK,White,33,33,38,38,45,1,5,0
35-44,Male,masters,UK,White,36,37,46,29,47,2,6,0
35-44,Female,university,UK,White,44,40,53,54,39,3,5,0
35-44,Male,masters,UK,White,34,33,37,43,37,3,4,0
35-44,Male,professional,UK,White,27,36,44,42,34,3,5,1
25-34,Male,university,UK,OtherE,26,49,49,51,48,3,6,0
25-34,Female,university,UK,White,31,43,54,49,52,1,0,0
45-54,Female,somecollege,Canada,White,39,44,38,45,51,2,3,0
45-54,Male,masters,UK,White,19,45,48,49,49,0,2,0
45-54,Male,left16,UK,White,37,34,44,42,37,4,3,1
25-34,Female,masters,UK,WhiteBlack,44,36,32,37,44,5,9,0
35-44,Male,masters,UK,White,46,39,45,35,42,2,3,1
45-54,Male,professional,Canada,White,47,46,42,37,27,8,10,0
55-64,Female,university,UK,White,34,40,36,45,36,5,1,0
45-54,Male,masters,UK,White,23,39,53,45,44,3,5,0
55-64,Male,left16,UK,White,36,47,42,36,33,7,9,0
55-64,Female,professional,UK,White,36,35,38,40,39,1,0,0
35-44,Female,somecollege,UK,White,36,40,34,43,44,1,1,0
25-34,Female,university,UK,White,30,44,32,45,47,2,4,0
45-54,Male,left18,UK,White,38,44,46,40,39,8,9,1
45-54,Male,university,UK,White,31,31,37,32,41,1,1,0
25-34,Female,doctorate,UK,White,49,42,48,41,40,1,6,0
45-54,Male,masters,UK,Asian,18,50,54,44,50,1,2,0
25-34,Male,university,UK,White,30,30,33,34,45,1,2,0
45-54,Male,university,UK,White,46,38,41,39,42,1,2,0
45-54,Male,doctorate,UK,White,22,43,53,40,48,1,4,1
35-44,Male,somecollege,UK,White,43,43,40,50,46,5,5,0
45-54,Male,left16,UK,White,26,35,38,51,45,2,2,0
25-34,Male,masters,UK,White,32,38,53,37,41,6,5,0
35-44,Male,professional,OtherC,White,27,40,48,42,40,3,6,0
45-54,Female,left16,UK,White,35,35,34,45,42,1,3,0
25-34,Male,somecollege,UK,White,32,38,47,30,40,5,8,0
45-54,Female,left18,Canada,White,31,47,44,50,43,0,3,0
45-54,Male,left18,UK,White,22,46,46,46,48,4,7,0
45-54,Male,professional,UK,White,29,36,44,45,49,2,5,0
+64,Female,left16,UK,White,25,27,26,33,44,5,0,0
25-34,Male,university,UK,White,34,41,35,38,39,5,5,0
45-54,Female,left17,Canada,White,32,35,35,46,46,0,0,0
35-44,Male,university,UK,White,37,28,42,35,39,3,0,0
35-44,Male,somecollege,UK,White,28,34,31,32,25,0,2,0
35-44,Male,professional,UK,White,32,34,32,50,37,3,5,0
